Year,Name,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas
2000,Debby,28.0,85,737000.0,1,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica"
2000,Gordon,9.48,80,5100000.0,26,"Central America (particularly Belize), Yucatán Peninsula, Cuba, East Coast of the United States, Atlantic Canada"
2000,Helene,9.56,70,16000000.0,2,"Lesser Antilles, Puerto Rico, Hispaniola, Jamaica, Cuba, Isle of Youth, Eastern United States, Atlantic Canada"
2000,Leslie,17.5,45,950000000.0,3,"Cuba, Bahamas, Florida, Bermuda, Atlantic Canada, Europe"
2001,Allison,40.0,60,9000000000.0,55,"Texas, Louisiana, Mississippi, Alabama, Georgia, Florida, South Carolina, North Carolina, Virginia, District of Columbia, Maryland, Delaware, Pennsylvania, New York, New Jersey, Rhode Island, New England, Atlantic Canada"
2001,Barry,8.9,70,30000000.0,9,"Cuba, Southeastern United States (Especially Florida, Alabama)"
2001,Gabrielle,15.1,80,230000000.0,3,"Florida, Newfoundland"
2001,Michelle,41.65,140,2430000000.0,48,"Jamaica, Costa Rica, Nicaragua, Honduras, Cayman Islands, Cuba, Florida, Bahamas, Turks and Caicos Islands, Bermuda"
2002,Arthur,4.49,60,,1,"Florida, Georgia, South Carolina, North Carolina, Bermuda, Newfoundland"
2002,Bertha,3.0,40,200000.0,1,"Florida, Alabama, Mississippi, Louisiana, Texas"
2002,Cristobal,2.78,50,,3,"Bermuda, New York"
2002,Edouard,7.64,65,,0,Florida
2002,Hanna,5.75,60,20000000.0,3,"Florida, Louisiana, Alabama, Mississippi, Georgia, Southeast U.S., Mid-Atlantic"
2002,Isidore,21.7,125,1280000000.0,22,"Venezuela, Jamaica, Cayman Islands, Cuba, Yucatán Peninsula, Louisiana, Mississippi"
2002,Lili,4.14,145,1160000000.0,15,"Windward Islands, Haiti, Jamaica, Cuba, Yucatan Peninsula, Cayman Islands, Louisiana"
2002,Kyle,2.19,85,5000000.0,1,"Bermuda, Florida, Georgia, Carolinas, British Isles"
2003,Ana,2.63,60,,2,"Venezuela, Jamaica, Cayman Islands, Cuba, Yucatán Peninsula, Louisiana, Mississippi"
2003,Bill,4.0,60,50500000.0,4,"Mexico, Gulf Coast of the United States, Southeastern United States"
2003,Claudette,3.0,90,181000000.0,3,"Windward Islands, Jamaica, Yucatán Peninsula, Northern Mexico, Texas"
2003,Erika,3.83,75,100000.0,2,"The Bahamas, Florida, Mexico, Southern Texas"
2003,Grace,10.36,40,113000.0,0,"Texas, Oklahoma, Ohio Valley, Mid-Atlantic States"
2003,Henri,10.0,60,19600000.0,0,"Florida, Delaware, Pennsylvania"
2003,Isabel,1.34,165,3600000000.0,51,"Lesser Antilles, Greater Antilles, Lucayan Archipelago, East Coast of the United States, Atlantic Canada"
2004,Bonnie,4.64,65,1270000.0,4,"Lesser Antilles, Hispaniola, Jamaica, Cuba, Yucatán Peninsula, Florida, Georgia, South Carolina, North Carolina, Virginia, Maine"
2004,Charley,5.87,150,16900000000.0,35,"Jamaica, Cayman Islands, Cuba, Florida, The Carolinas"
2004,Frances,13.0,145,10100000000.0,50,"Virgin Islands, Puerto Rico, Turks and Caicos Islands, Bahamas, Florida, Atlantic Canada"
2004,Ivan,15.75,107,4000000000.0,29,"Windward Islands (especially Grenada), Trinidad and Tobago, Venezuela, Barbados, Jamaica, Hispaniola, Grand Cayman, Cuba, Yucatan Peninsula, Eastern United States, Florida, Alabama, most of the United States Gulf Coast, and Canada"
2004,Jeanne,11.97,128,7500000000.0,6,"U.S. Virgin Islands, Puerto Rico, Dominican Republic, Haiti, Bahamas, Florida, Eastern United States"
2004,Matthew,3.29,45,305000.0,0,"Louisiana, Mississippi, Alabama, Florida, Arkansas, Missouri, Ohio Valley"
2005,Arlene,6.07,70,11800000.0,2,"Yucatán Peninsula, Cayman Islands, Cuba, Eastern United States, Eastern Canada"
2005,Cindy,5.0,75,320000000.0,3,"Yucatán Peninsula, Southeastern United States, Northeastern United States, Atlantic Canada"
2005,Dennis,8.7,150,3980000000.0,88,"Windward Islands, Greater Antilles, Southeastern United States, Great Lakes Region, Canada"
2005,Katrina,16.43,97,623000000.0,14,"Bahamas, Florida, Lousiana, Mississippi, Alabama, Eastern United States, Eastern Canada"
2005,Ophella,5.04,85,70000000.0,4,"Bahamas, East Coast of the United States, Atlantic Canada"
2005,Rita,5.04,58,18500000000.0,120,"Hispaniola, Turks and Caicos Islands, Bahamas, Cuba, Florida, Georgia, Mississippi, Louisiana, Texas, Oklahoma, Arkansas, Missouri, Tennessee, Kentucky, Illinois, Great Lakes region"
2005,Tammy,4.883,60,30000000.0,10,"Bahamas, Florida, Georgia, South Carolina"
2005,Wilma,13.26,135,26500000000.0,52,"Mexico, Florida, Bahamas"
2006,Alberta ,7.08,70,420000.0,7,"Northwest Caribbean, Southeastern United States, Atlantic Canada"
2006,Ernesta,8.72,75,500000000.0,11,"Lesser Antilles, Greater Antilles, East Coast of the United States, Atlantic Canada"
2007,Andrea,0.5,60,,6,"Virginia, Southeastern U.S., Bahamas"
2007,Barry,6.99,60,118000.0,3,"El Salvador, western Cuba, Florida, East Coast of the United States, Atlantic Canada"
2007,Dean,13.07,175,1660000000.0,45,"Lesser Antilles, Greater Antilles, Nicaragua, Honduras, Belize, Guatemala, Mexico, Gulf Coast of the United States, Southwestern United States"
2007,Gabrielle,9.03,60,,1,North Carolina
2007,Humberto,14.13,90,50000000.0,1,"Texas, Louisiana, Mississippi, The Carolinas"
2007,Noel,17.23,80,580000000.0,222,"Leeward Islands, Puerto Rico, Hispaniola, Jamaica, Cuba, Turks and Caicos Islands, Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe"
2007,Olga,10.0,60,45000000.0,40,"Puerto Rico, Hispaniola, Yucatan Peninsula, central Florida"
2008,Cristobal,6.0,65,10000.0,0,"Florida, The Carolinas, Atlantic Canada"
2008,Dolly,16.0,100,1600000000.0,22,"Cayman Islands, Honduras, Belize, Guatemala, Yucatán Peninsula, Mexico, Texas, New Mexico, Arizona"
2008,Edouard,3.81,65,550000.0,6,"Florida, Alabama, Mississippi, Louisiana, Texas, Oklahoma"
2008,Fay,27.65,70,560000000.0,36,"Leeward Islands, Puerto Rico, Hispaniola, Jamaica, Cayman Islands, Cuba, Florida, Georgia, Alabama, Mississippi, Louisiana, Arkansas, North Carolina, Tennessee, Kentucky, West Virginia and Ohio"
2008,Gustav,10.75,155,8310000000.0,153,"Lesser Antilles, Greater Antilles, United States Gulf Coast, Oklahoma, Arkansas, Tennessee, Missouri, Illinois, Michigan"
2008,Hanna,12.0,85,160000000.0,537,"Puerto Rico, Turks and Caicos Islands, Bahamas, Hispaniola, Eastern Seaboard, Atlantic Canada"
2008,Ike,10.0,145,38000000000.0,214,"Lucayan Archipelago, Hispanialo, Cuba, Cayman Islands, Texas, South Central United States, Great Lakes region, Canada"
2008,Paloma,17.77,145,455000000.0,1,"Central America, Jamaica, Cayman Islands, Cuba, Bahamas, Florida"
2009,Claudette,7.0,60,350000.0,2,Southeastern United States
2009,Bill,3.74,130,46200000.0,2,"Northeastern Caribbean, Northeastern United States, Bermuda, Eastern Canada, British Isles"
2009,Danny,7.0,60,,1,"North Carolina, Northeastern United States and Atlantic Canada"
2009,Ida,18.0,105,11400000.0,4,"Central America, Cayman Islands, Yucatán Peninsula, Cuba, Southeastern United States, Mid-Atlantic states, New England, Atlantic Canada"
2010,Alex,23.1,110,1520000000.0,73,"Greater Antilles, Central America, Yucatán Peninsula, Northern Mexico, Texas"
2010,Bonnie,3.25,45,1360000.0,1,"Puerto Rico, Hispaniola, Turks and Caicos, Bahamas, Florida"
2010,Danielle,18.29,130,,1,United States East Coast
2010,Earl,6.31,145,45000000.0,8,"Leeward Islands, Puerto Rico, Bahamas, East Coast of the United States, Eastern Canada"
2010,Igor,3.19,155,200000000.0,4,"Cape Verde, Northeastern Caribbean, Eastern United States, Bermuda, Newfoundland, Saint Pierre and Miquelon, Southern Greenland"
2010,Nicole,37.42,45,245000000.0,20,"Cayman Islands, Jamaica, Cuba, Florida, Bahamas, United States East Coast"
2010,Paula,7.9,105,,1,"Nicaragua, Honduras, Mexico, Cuba, Bahamas and Florida"
2011,Bret,3.0,70,,0,"Bahamas, Bermuda, East Coast of the United States"
2011,Irene,7.0,120,14200000000.0,58,"Hispaniola, Lesser Antilles, Greater Antilles, Turks and Caicos, Bahamas, East Coast of the United States, Vermont, Pennsylvania, Atlantic Canada"
2011,Lee,7.0,60,2800000000.0,18,United States Gulf Coast and Eastern United States
2011,Katia,0.85,140,157000000.0,4,"Lesser Antilles, East Coast of the United States, United Kingdom, France, Germany, Poland, Latvia, Estonia, Russia"
2011,Rina,15.79,115,2300000.0,0,"Central America, Yucatán Peninsula, Cuba, Florida"
2011,Sean,,65,,1,Bermuda
2012,Beryl,15.0,70,148000.0,3,"Cuba, The Bahamas, Southeastern United States"
2012,Debby,28.78,65,250000000.0,8,"Cuba, Central America, Southeastern United States, Bermuda"
2012,Isaac,15.86,80,3110000000.0,41,"Leeward Islands, Puerto Rico, Hispaniola, Cuba, The Bahamas, Florida, Louisiana, Arkansas, Kentucky, Mississippi, Alabama, Missouri, Illinois, Indiana"
2012,Sandy,3.0,115,68700000000.0,233,"Greater Antilles, Bahamas, most of the eastern United States (especially the coastal Mid-Atlantic States), Bermuda, eastern Canada"
2013,Andrea,14.27,65,86000.0,4,"Yucatán Peninsula, Cuba, United States East Coast, Atlantic Canada"
2013,Karen,6.95,65,18000.0,0,"Yucatán Peninsula, Gulf Coast of the United States, Eastern United States"
2014,Bertha,5.9,80,,4,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, Lucayan Archipelago, East Coast of the United States, Western Europe"
2015,Ana,3.17,60,,2,Southeastern United States
2015,Erika,9.0,50,511000000.0,35,"Antilles (particularly Dominica), The Bahamas, Florida"
2015,Joaquin,5.0,155,200000000.0,34,"Lucayan Archipelago (especially The Bahamas), Cuba, Haiti, Southeastern United States (especially Florida and The Carolinas), Bermuda, Azores, Iberian Peninsula, Morocco"
2015,Patricia,7.3,215,463000000.0,13,"Mexico, Texas"
2016,Bonnie,10.0,45,640000.0,2,"The Bahamas, The Southeastern United States"
2016,Colin,17.54,50,1040000.0,6,"Yucatan Peninsula, Cuba, East Coast of the United States"
2016,Hermine,22.36,50,550000000.0,5,"Dominican Republic, Cuba, The Bahamas, Florida, East coast of the United States, Atlantic Canada"
2016,Julia,18.0,50,6130000.0,0,"The Bahamas, Southeastern United States"
2016,Matthew,9.0,100,2770000000.0,12,Florida Peninsula and the First Coast
2016,Nicole,6.77,140,15000000.0,2,"Bermuda, North Atlantic Coastlines"
2017,Cindy,9.46,60,25000000.0,3,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southern United States, Eastern United States"
2017,Emily,7.19,60,10000000.0,0,"Louisiana, Florida"
2017,Harvey,40.0,130,125000000000.0,107,"Windward Islands, Suriname, Guyana, Nicaragua, Honduras, Belize, Cayman Islands, Yucatán Peninsula, Southern and Eastern United States (especially Texas and Louisiana)"
2017,Irma,21.66,180,77200000000.0,134,"Cape Verde, Leeward Islands (especially Barbuda, Saint Barthélemy, Anguilla, Saint Martin and the Virgin Islands), Greater Antilles (Cuba and Puerto Rico), Turks and Caicos Islands, Jamaica, The Bahamas, Eastern United States (especially Florida)"
2017,Maria,4.33,175,91600000000.0,3059,Southeastern United States and surrounding areas
2017,Nate,10.0,90,737000000.0,48,"Jamaica, Costa Rica, Central America, Cayman Islands, Cuba, Mexico, East Coast of the United States, Atlantic Canada, St Pierre and Miquelon"
2017,Philipee,10.93,40,100000000.0,5,"Central America, Cayman Islands, Yucatán Peninsula, Cuba, East Coast of the United States"
2018,Alberto,11.8,65,125000000.0,18,"Yucatán Peninsula, Cuba, Eastern United States, Canada"
2018,Gordon,12.73,70,250000000.0,4,"Hispaniola, Cuba, The Bahamas, South Florida, Florida Keys, Gulf Coast of the United States, Arkansas, Missouri, United States East Coast, Southern Ontario"
2018,Florence,30.0,150,24200000000.0,54,"West Africa, Cape Verde, Bermuda, East Coast of the United States (especially the Carolinas), Atlantic Canada"
2018,Michael,11.62,160,25500000000.0,74,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southeastern United States (especially the Florida Panhandle and Georgia), Eastern United States, Eastern Canada, Iberian Peninsula"
2019,Barry,16.59,75,900000000.0,3,"Midwestern United States, Gulf Coast of the United States, Arkansas, Oklahoma, Eastern United States, Eastern Canada"
2019,Dorian,15.21,185,5100000000.0,84,"Lesser Antilles, Puerto Rico, The Bahamas (especially the Abaco Islands and Grand Bahama), Eastern United States (especially Florida, Georgia, South Carolina, and North Carolina), Eastern Canada"
2019,Humberto,1.57,125,25000000.0,2,"Bahamas, East Coast of the United States, Puerto Rico, Bermuda, Atlantic Canada"
2019,Lorenzo,8.0,160,367000000.0,20,"West Africa, Cape Verde, Lesser Antilles, Eastern United States, Azores, the British Isles, France, Germany, Eastern Europe"
2019,Nestor,7.77,60,150000000.0,3,"Central America, Yucatan Peninsula, Southeastern United States"
2020,Arthur,5.35,60,112000.0,0,"Cuba, South Florida, The Bahamas, North Carolina, Mid-Atlantic United States, Bermuda"
2020,Bertha,7.4,50,130000.0,1,Eastern United States (especially Florida and South Carolina)
2020,Cristobal,24.48,60,865000000.0,46,"Central America (especially Guatemala, El Salvador and Honduras), Mexico, Central United States, Great Lakes Region, Eastern Canada"
2020,Fay,4.58,60,220000000.0,6,"Eastern Southeastern United States, East Coast of the United States, Atlantic Canada"
2020,Hanna,15.0,90,1200000000.0,9,"Cuba, Hispaniola, Gulf Coast of the United States (mainly Texas), Mexico"
2020,Marco,11.81,75,35000000.0,0,"Central America, western Caribbean, Yucatán Peninsula, Gulf Coast of the United States"
2020,Laura,10.0,150,23300000000.0,81,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States"
2020,Sally,22.5,110,7300000.0,9,"The Bahamas, Cuba, U.S. Gulf Coast, Southeastern United States"
2020,Gamma,15.0,75,100000000.0,6,"Honduras, Yucatán Peninsula, Cayman Islands, Cuba, Florida"
2020,Delta,15.0,140,3090000000.0,6,"Jamaica, Nicaragua, Cayman Islands, Yucatán Peninsula, Gulf Coast of the United States, Eastern United States"
2020,Zeta,2.43,115,4400000000.0,9,"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England, Ireland, United Kingdom"
2020,Eta,26.33,150,8300000000.0,275,"San Andrés, Jamaica, Central America, Cayman Islands, Cuba, Bahamas, Southeastern United States"
2021,Elsa,8.0,85,1200000000.0,13,"Lesser Antilles, Greater Antilles, Venezuela, Colombia, East Coast of the United States, Atlantic Canada"
2021,Fred,9.0,65,1300000000.0,7,"Lesser Antilles, Greater Antilles, Eastern United States (particularly Florida and North Carolina), Southern Quebec, The Maritimes"
2021,Mindy,4.85,60,75200000.0,23,"Colombia, Central America, Mexico, Southeastern United States"
2022,Alex,11.9,70,,4,"Yucatán Peninsula, western Cuba, Florida, the Bahamas, Bermuda"
2022,Ian,31.52,160,113000000000.0,161,"Trinidad and Tobago, Venezuela, Colombia, ABC islands, Jamaica, Cayman Islands, Cuba, Southeast United States (especially Florida and The Carolinas)"
2022,Nicole,8.0,75,1000000000.0,11,"Dominican Republic, Puerto Rico, The Bahamas, Southeastern United States"
2023,Idalia,5.5,130,3600000000.0,12,"Yucatán Peninsula, Cayman Islands, Western Cuba, Southeastern United States, Bermuda, Atlantic Canada"
2023,Lee,6.5,165,50000000.0,4,"Bermuda, Northeastern United States, Eastern Canada"
